"Timestamp","I have a vivid imagination and enjoy hearing new, abstract ideas.","I am curious about many different things and like trying new experiences.","I am always prepared, organized, and follow a schedule","I am diligent and complete tasks thoroughly and on time."," I am the life of the party and feel energized by social interactions. "," I enjoy being the center of attention and meeting new people."," I sympathize with others' feelings and try to make people feel at ease.","I am generally trusting and kind to almost everyone I meet."," I get stressed out easily and frequently worry about things. "," I often feel blue or experience frequent mood swings."," Which of the following study techniques have you used and found highly effective for your learning? (Select all that apply)","Average Study Hours per day"
"2025/12/29 2:34:44 PM GMT+5","4","4","3","5","2","2","4","5","3","3","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","4"
"2025/12/29 3:09:12 PM GMT+5","5","5","4","5","4","3","3","4","5","5","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Group Study: Discussing topics and quizzing peers in a social setting.","2"
"2025/12/29 3:26:51 PM GMT+5","3","4","3","4","2","1","5","4","1","1","Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","3"
"2025/12/29 3:35:19 PM GMT+5","5","5","5","5","5","5","5","5","5","5","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","10"
"2025/12/29 3:35:44 PM GMT+5","5","5","5","5","5","5","5","5","5","5","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","10"
"2025/12/29 3:55:03 PM GMT+5","4","3","5","4","5","5","5","4","4","3","Group Study: Discussing topics and quizzing peers in a social setting.","8"
"2025/12/29 4:05:14 PM GMT+5","5","5","4","3","2","2","5","5","4","5","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.","1"
"2025/12/29 6:49:23 PM GMT+5","4","4","2","4","1","2","3","3","3","4","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).","3"
"2025/12/30 12:19:25 AM GMT+5","5","5","4","4","5","5","5","4","5","5","Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","2"
"2025/12/30 12:27:29 AM GMT+5","5","5","3","4","4","4","4","5","5","3","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","5"
"2025/12/30 12:46:43 AM GMT+5","5","5","1","1","5","3","3","3","1","1","","1"
"2025/12/30 12:52:20 AM GMT+5","2","2","1","5","2","2","3","2","2","2","Group Study: Discussing topics and quizzing peers in a social setting.","2"
"2025/12/30 1:18:57 AM GMT+5","5","5","1","3","3","5","5","3","5","3","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Group Study: Discussing topics and quizzing peers in a social setting.","4"
"2025/12/30 8:42:56 AM GMT+5","4","4","3","3","4","5","5","5","3","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","4"
"2025/12/30 8:43:37 AM GMT+5","5","5","3","3","4","4","3","2","4","1","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.","3"
"2025/12/30 8:49:04 AM GMT+5","2","1","2","2","3","2","2","5","2","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","1"
"2025/12/30 10:14:44 AM GMT+5","1","1","3","3","2","2","1","1","2","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","8"
"2025/12/30 11:15:55 AM GMT+5","2","2","1","1","2","2","2","1","1","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","2"
"2025/12/30 12:28:51 PM GMT+5","3","4","2","1","3","2","3","3","3","3","Active Recall: Testing yourself or doing practice questions rather than just reading notes.","1"
"2025/12/30 1:15:18 PM GMT+5","5","4","3","3","4","1","3","5","2","4","Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","1"
"2025/12/30 1:23:24 PM GMT+5","3","2","2","2","3","1","3","2","4","1","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.","6"
"2025/12/30 1:24:37 PM GMT+5","2","1","1","2","3","1","1","3","3","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","6"
"2025/12/30 2:18:15 PM GMT+5","5","5","1","3","5","4","5","4","1","3","Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Group Study: Discussing topics and quizzing peers in a social setting.","1"
"2025/12/30 2:58:31 PM GMT+5","3","5","3","4","4","3","3","4","3","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.","4"
"2025/12/30 5:32:57 PM GMT+5","2","1","2","1","1","2","1","3","4","3","Mind Mapping: Creating visual diagrams to connect different concepts and ideas.","5"
"2025/12/31 7:14:01 PM GMT+5","1","1","2","3","4","4","4","1","2","5","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","4"
"2025/12/31 7:31:14 PM GMT+5","4","5","2","4","4","5","4","5","3","3","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","2"
"2025/12/31 7:44:09 PM GMT+5","5","5","3","4","3","2","3","4","5","4","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","4"
"2025/12/31 7:56:26 PM GMT+5","2","2","2","2","2","2","2","2","2","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Group Study: Discussing topics and quizzing peers in a social setting.","3"
"2025/12/31 7:57:54 PM GMT+5","2","3","3","1","1","2","3","1","1","1","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","6"
"2025/12/31 8:24:15 PM GMT+5","2","2","1","3","4","3","2","3","4","3","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","4"
"2026/01/01 7:54:10 PM GMT+5","4","5","4","4","4","4","4","4","4","4","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","4"
